# F28 host profile of the DSpark decode generation thread (generate 1).
# CAVEAT: the F16 pipeline runs both row groups as greenlets ON this thread; cProfile keeps
#   profiling across greenlet switches, so a switched-out frame's time includes the partner's work.
# strip_dirs() is NOT applied: full paths distinguish staged vs pinned modules.

== top 80 by tottime ==
         74551436 function calls (72662512 primitive calls) in 68.838 seconds

   Ordered by: internal time
   List reduced from 811 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    83039    0.206    0.000    0.861    0.000 {built-in method builtins.sorted}
    30720    0.200    0.000    0.848    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3421(_mixes)
    31454    0.609    0.000    0.829    0.000 /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:170(gate_up)
    15360    0.027    0.000    0.801    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/install.py:91(guarded)
2877028/2876919    0.450    0.000    0.799    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:299(__enter__)
    15360    0.365    0.000    0.760    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:1233(_sparse_attend_selected)
   855492    0.226    0.000    0.748    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:424(notify_all)
121937/121835    0.171    0.000    0.721    0.000 /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:165(submit)
    31454    0.547    0.000    0.671    0.000 <f16_yield_run>:25(finish)
    30724    0.348    0.000    0.648    0.000 /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:204(hc_split_sinkhorn)



== callers of the 10 largest tottime entries ==
   Ordered by: internal time
   List reduced from 811 to 10 due to restriction <10>

Function                                                                                                                                             was called by...
                                                                                                                                                         ncalls  tottime  cumtime
{built-in method posix.preadv}                                                                                                                       <-  2346/1    0.048    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
                                                                                                                                                              1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/contextlib.py:141(__exit__)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:575(_lease)
                                                                                                                                                        11700/0    2.174    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)
                                                                                                                                                        22892/0    0.156    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/ngram_row_cache.py:205(read_run)
/Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)                        <-   199/3    0.000    0.005  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:199(as_completed)
                                                                                                                                                         7538/5    0.025    0.059  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:428(result)
                                                                                                                                                        17816/1    0.039    0.011  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
                                                                                                                                                           14/1    0.000    0.011  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:165(submit)
                                                                                                                                                           25/3    0.000    0.024  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:184(_adjust_thread_count)
                                                                                                                                                              1    0.000    0.006  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/contextlib.py:141(__exit__)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/contextlib.py:477(_exit_wrapper)
                                                                                                                                                           40/2    0.019    0.009  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:1005(open)
                                                                                                                                                           11/1    0.000    0.004  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/selectors.py:402(select)
                                                                                                                                                            9/4    0.000    0.019  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:807(__init__)
                                                                                                                                                            9/1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1165(communicate)
                                                                                                                                                            1/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1259(wait)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1282(_close_pipe_fds)
                                                                                                                                                           22/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1688(_get_handles)
                                                                                                                                                           10/6    0.000    0.001  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1791(_execute_child)
                                                                                                                                                            1/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2008(_try_wait)
                                                                                                                                                            8/3    0.000    0.027  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2021(_wait)
                                                                                                                                                            2/1    0.000    0.006  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:299(__enter__)
                                                                                                                                                         3854/1    0.137    0.011  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
                                                                                                                                                          901/1    0.064    0.003  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:637(wait)
                                                                                                                                                            1/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1001(run)
                                                                                                                                                          776/0    0.001    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/install.py:91(guarded)
                                                                                                                                                           25/1    0.000    0.002  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:333(f16_yield)
                                                                                                                                                            6/1    0.000    0.001  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:582(<lambda>)
                                                                                                                                                           52/0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:809(_group_forward)
                                                                                                                                                          347/1    0.002    0.015  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f6/engram_parallel.py:111(_read_chunk)
                                                                                                                                                             13    0.000    0.001  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f6/engram_parallel.py:174(_parallel_gather_bytes)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:443(read)
                                                                                                                                                            8/0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:465(_mach_task_vm_info)
                                                                                                                                                           20/1    0.000    0.006  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:475(process_rss_snapshot)
                                                                                                                                                          189/4    0.004    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:550(box_memory_snapshot)
                                                                                                                                                           47/1    0.024    0.006  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:573(host_memory_snapshot)
                                                                                                                                                           24/2    0.000    0.002  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/engram_v41.py:470(__call__)
                                                                                                                                                        14621/0    0.044    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)
                                                                                                                                                          181/5    0.002    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:3868(_plan_route_transaction)
                                                                                                                                                         1481/1    0.003    0.023  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:4127(begin_split_route)
                                                                                                                                                            2/0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1152(_raise_completion_error)
                                                                                                                                                           10/0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1258(_prepare_load)
                                                                                                                                                         4956/1    0.163    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1411(_fill)
                                                                                                                                                           39/5    0.000    0.010  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1473(_fill_batch)
                                                                                                                                                          884/1    0.003    0.010  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1810(ensure_route_part)
                                                                                                                                                         3800/1    0.219    0.006  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1923(_ensure_route_locked)
                                                                                                                                                          969/1    0.006    0.009  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:2014(_ensure_route_owned)
                                                                                                                                                              1    0.000    0.007  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:2121(_submit_single_read)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1528(plan)
                                                                                                                                                            3/2    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_streaming.py:1759(plan_transaction)
                                                                                                                                                          428/2    0.002    0.017  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3639(__call__)
                                                                                                                                                         1003/2    0.002    0.015  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:406(_run_routed_shared_overlap)
                                                                                                                                                       11548/43    0.020    0.002  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:467(__call__)
                                                                                                                                                         5047/7    4.730    0.041  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:2517(run_with_shared_overlap)
                                                                                                                                                          186/2    0.001    0.031  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:3895(run_switch_with_shared_overlap)
                                                                                                                                                         3847/0    0.004    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/ngram_row_cache.py:205(read_run)
                                                                                                                                                           27/0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/ngram_row_cache.py:364(dequantize)
                                                                                                                                                            9/5    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/scripts/deepseek_v41/bench_standard_shape.py:642(_sample)
                                                                                                                                                            2/1    0.000   69.007  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/file_embedding.py:57(__call__)
                                                                                                                                                            2/1    0.000    0.003  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:45(submit)
                                                                                                                                                          651/1    0.004    0.013  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:48(execute)
                                                                                                                                                            4/0    0.000    0.000  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:77(submit)
                                                                                                                                                         3711/2    0.008    0.002  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:80(execute)
                                                                                                                                                         5340/1    0.013    0.006  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:100(run)
                                                                                                                                                         9788/2    0.055    0.000  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:111(read)
                                                                                                                                                         6413/2    0.130    0.012  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:142(read_one)
                                                                                                                                                           42/2    0.000    0.004  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:146(read_batch)
                                                                                                                                                        11379/4    0.023    0.003  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:203(early_completions)
                                                                                                                                                            1/0    0.000    0.000  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/projection_install.py:24(issue)
                                                                                                                                                           31/1    0.011    0.007  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/run_full.py:492(sample)
                                                                                                                                                          352/0    0.064    0.000  <f16_yield_run>:1(run)
                                                                                                                                                            4/2    0.000    0.022  {built-in method _io.open}
                                                                                                                                                              1    0.000   69.007  {built-in method posix.pread}
                                                                                                                                                         2177/0    0.005    0.000  {built-in method posix.preadv}
                                                                                                                                                              3    0.000    0.004  {built-in method posix.waitpid}
                                                                                                                                                           22/1    0.013    0.001  {method '__exit__' of '_io._IOBase' objects}
                                                                                                                                                          165/0    0.000    0.000  {method 'acquire' of '_thread.lock' objects}
                                                                                                                                                          417/2    0.001    0.003  {method 'get' of '_queue.SimpleQueue' objects}
                                                                                                                                                            1/0    0.000    0.000  {method 'poll' of 'select.poll' objects}
                                                                                                                                                           22/1    0.000    0.000  {method 'switch' of 'greenlet.greenlet' objects}
<f16_yield_run>:1(run)                                                                                                                               <-  2634/0    3.486    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:2517(run_with_shared_overlap)
{method 'acquire' of '_thread.lock' objects}                                                                                                         <-  336/46    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2021(_wait)
                                                                                                                                                          29896    0.003    0.003  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:311(_acquire_restore)
                                                                                                                                                         449863    0.045    0.045  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:314(_is_owned)
                                                                                                                                                      150775/91    0.743    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
                                                                                                                                                             47    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1045(_set_tstate_lock)
                                                                                                                                                       16189/21    0.009    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_runtime.py:4127(begin_split_route)
{built-in method _posixsubprocess.fork_exec}                                                                                                         <-       1    0.006    0.006  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
                                                                                                                                                            311    1.657    1.657  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1791(_execute_child)
                                                                                                                                                              1    0.004    0.004  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2008(_try_wait)
                                                                                                                                                              1    0.006    0.006  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
                                                                                                                                                              1    0.005    0.005  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:550(box_memory_snapshot)
                                                                                                                                                              7    0.038    0.038  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)
                                                                                                                                                              1    0.005    0.005  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41.py:3639(__call__)
                                                                                                                                                              1    0.006    0.006  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/expert_mlx.py:2517(run_with_shared_overlap)
                                                                                                                                                              1    0.005    0.005  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:100(run)
                                                                                                                                                              2    0.011    0.011  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:111(read)
                                                                                                                                                              1    0.006    0.006  {built-in method posix.pipe}
/Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)                        <- 11736/0    0.077    0.000  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:111(read)
/Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:2014(_ensure_route_owned)                   <-   207/1    0.004    0.009  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
                                                                                                                                                          912/1    0.015    0.013  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_io.py:1049(_readv_range_into)
                                                                                                                                                        16393/1    0.958    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/expert_slots.py:1923(_ensure_route_locked)
/Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:883(pipelined_forward)  <-       4    0.000   62.725  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
                                                                                                                                                              1    0.000   57.199  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:883(pipelined_forward)
                                                                                                                                                           51/9    0.000    2.744  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/deepseek_v41_memory_profile.py:550(box_memory_snapshot)
                                                                                                                                                            4/3    0.000    1.006  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:406(_run_routed_shared_overlap)
                                                                                                                                                           37/4    0.000    1.453  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-run-d5f15e7a/mtplx/models/deepseek_v41_moe.py:467(__call__)
                                                                                                                                                              1    0.000   68.281  /private/tmp/dsv41-f2b-20260920-121555/r103-h0-e1-g234881024-v0-t1-d0-pexcess-q1-o0-c0-l1-f1/packed/plane_lane.py:48(execute)
                                                                                                                                                              1    0.000   69.008  <hybrid_lookup_decode>:1(_decode_cycles)
                                                                                                                                                              0    0.000    0.000  {built-in method _io.open}
                                                                                                                                                              1    0.015   57.571  {built-in method posix.read}
                                                                                                                                                           76/2    0.000    0.696  {method 'acquire' of '_thread.lock' objects}
                                                                                                                                                          29/18    0.000   59.570  {method 'switch' of 'greenlet.greenlet' objects}
{method 'get' of '_queue.SimpleQueue' objects}                                                                                                       <-    16/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:199(as_completed)
                                                                                                                                                         4492/0    0.037    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/_base.py:428(result)
                                                                                                                                                         2402/0    0.015    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:54(run)
                                                                                                                                                            4/1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:165(submit)
                                                                                                                                                           14/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/concurrent/futures/thread.py:184(_adjust_thread_count)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/contextlib.py:141(__exit__)
                                                                                                                                                           53/1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/pathlib.py:1005(open)
                                                                                                                                                           42/2    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/selectors.py:402(select)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:506(run)
                                                                                                                                                           10/4    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:807(__init__)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1165(communicate)
                                                                                                                                                            9/1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1259(wait)
                                                                                                                                                              1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1282(_close_pipe_fds)
                                                                                                                                                           33/2    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1688(_get_handles)
                                                                                                                                                           14/2    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:1791(_execute_child)
                                                                                                                                                           23/1    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2008(_try_wait)
                                                                                                                                                            5/2    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2021(_wait)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/subprocess.py:2062(_communicate)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:299(__enter__)
                                                                                                                                                        12703/2    0.078    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:323(wait)
                                                                                                                                                           43/0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:637(wait)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1018(_bootstrap)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/.local/share/uv/python/cpython-3.12.13-macos-aarch64-none/lib/python3.12/threading.py:1058(_bootstrap_inner)
                                                                                                                                                         5745/1    0.038    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/install.py:91(guarded)
                                                                                                                                                              0    0.000    0.000  /Users/davidtai/projects/OpenSourceWTF/mtplx-hy3-ssd/.worktrees/dsv41-f24-policy-window/scripts/deepseek_v41/f16/pipeline.py:323(_f16_handoff)
